,points
1672934400,"{'v': [2.1900895283191666, 37350292.65, 2674977936.3847632, 0.0001299415415075164, 158710.7522582411], 'c': [2.1900895283191666, 37350292.65, 2674977936.3847632]}"
1672935000,"{'v': [2.1882872770344846, 37051939.45, 2672776664.537194, 0.00012984557982238492, 158593.5445426907], 'c': [2.1882872770344846, 37051939.45, 2672776664.537194]}"
1672935900,"{'v': [2.187742581326173, 37014650.21, 2672111372.555776, 0.00012991256719773533, 158675.3630020558], 'c': [2.187742581326173, 37014650.21, 2672111372.555776]}"
1672936800,"{'v': [2.18260245222778, 37013130.92, 2665833212.804507, 0.00012961644708274549, 158313.68154388934], 'c': [2.18260245222778, 37013130.92, 2665833212.804507]}"
1672937700,"{'v': [2.1837650901499748, 37063049.24, 2667253260.135751, 0.00012965878710849153, 158365.39570133912], 'c': [2.1837650901499748, 37063049.24, 2667253260.135751]}"
1672938600,"{'v': [2.179382889485834, 36952262.7, 2661900835.06919, 0.00012937351032293645, 158016.95829855025], 'c': [2.179382889485834, 36952262.7, 2661900835.06919]}"
1672939500,"{'v': [2.178896835841637, 36901537.16, 2661307168.5741386, 0.00012939384469044799, 158041.79471904374], 'c': [2.178896835841637, 36901537.16, 2661307168.5741386]}"
1672940400,"{'v': [2.1762728520867403, 37022006.85, 2658102231.716983, 0.00012927502417905368, 157896.66720609972], 'c': [2.1762728520867403, 37022006.85, 2658102231.716983]}"
1672941300,"{'v': [2.1760435790166417, 37037046.26, 2657822197.3183928, 0.0001293256603713576, 157958.5143111811], 'c': [2.1760435790166417, 37037046.26, 2657822197.3183928]}"
1672941900,"{'v': [2.1754771132585176, 37034200.73, 2657130315.372424, 0.00012933984292204815, 157975.83689534408], 'c': [2.1754771132585176, 37034200.73, 2657130315.372424]}"
1672942800,"{'v': [2.1761493803432006, 37120001.12, 2657951423.1836033, 0.00012937530382692877, 158019.14888644463], 'c': [2.1761493803432006, 37120001.12, 2657951423.1836033]}"
1672943700,"{'v': [2.1774802142647687, 37101758.74, 2659576905.3071218, 0.00012928181641160295, 157904.96324695702], 'c': [2.1774802142647687, 37101758.74, 2659576905.3071218]}"
1672944600,"{'v': [2.1756638142515525, 37090044.12, 2657358352.185811, 0.00012917417459328787, 157773.489402942], 'c': [2.1756638142515525, 37090044.12, 2657358352.185811]}"
1672945500,"{'v': [2.17844331651138, 37048019.28, 2660753239.5285563, 0.00012933583464184648, 157970.941177172], 'c': [2.17844331651138, 37048019.28, 2660753239.5285563]}"
1672946400,"{'v': [2.1756283287544202, 36897263.63, 2657315010.1577053, 0.00012914957292721766, 157743.44089894928], 'c': [2.1756283287544202, 36897263.63, 2657315010.1577053]}"
1672947300,"{'v': [2.1799953631099225, 36833804.51, 2662648911.076983, 0.00012944706894338739, 158106.80288444177], 'c': [2.1799953631099225, 36833804.51, 2662648911.076983]}"
1672948200,"{'v': [2.1793211289608814, 36853698.71, 2661825400.691074, 0.00012932614941180652, 157959.11162576295], 'c': [2.1793211289608814, 36853698.71, 2661825400.691074]}"
1672948800,"{'v': [2.1818274118703482, 36838482.99, 2664886577.5966167, 0.00012938392608075763, 158029.6801174541], 'c': [2.1818274118703482, 36838482.99, 2664886577.5966167]}"
1672949700,"{'v': [2.1802324957694466, 36708000.75, 2662938545.1873794, 0.00012927067046272902, 157891.34957183903], 'c': [2.1802324957694466, 36708000.75, 2662938545.1873794]}"
1672950600,"{'v': [2.1872029152599817, 36748860.95, 2671452223.7851844, 0.0001297581839016602, 158486.79906190294], 'c': [2.1872029152599817, 36748860.95, 2671452223.7851844]}"
1672951500,"{'v': [2.190663744799905, 36733007.1, 2675679285.0724864, 0.00012993774146934168, 158706.1108871266], 'c': [2.190663744799905, 36733007.1, 2675679285.0724864]}"
1672952400,"{'v': [2.190736784496875, 36677388.58, 2675768495.8446255, 0.0001299401102070197, 158709.004066124], 'c': [2.190736784496875, 36677388.58, 2675768495.8446255]}"
1672953300,"{'v': [2.1834095946027663, 36629055.45, 2666819057.45455, 0.00012947064384531294, 158135.5972974956], 'c': [2.1834095946027663, 36629055.45, 2666819057.45455]}"
1672954200,"{'v': [2.181668975575322, 36488023.97, 2664693063.3187585, 0.00012948620399192, 158154.602478938], 'c': [2.181668975575322, 36488023.97, 2664693063.3187585]}"
1672954800,"{'v': [2.18296185908363, 36371937.58, 2666272192.762701, 0.00012957592719554944, 158264.1905058141], 'c': [2.18296185908363, 36371937.58, 2666272192.762701]}"
1672955700,"{'v': [2.1899745266284754, 36488194.81, 2674837473.1839356, 0.00012991548513175026, 158678.9269701077], 'c': [2.1899745266284754, 36488194.81, 2674837473.1839356]}"
1672956600,"{'v': [2.188660472236184, 36404313.76, 2673232485.597293, 0.00012984370640022682, 158591.2563426543], 'c': [2.188660472236184, 36404313.76, 2673232485.597293]}"
1672957500,"{'v': [2.183642000053058, 36323147.25, 2667102917.746007, 0.0001295394513595318, 158219.6388766242], 'c': [2.183642000053058, 36323147.25, 2667102917.746007]}"
1672958400,"{'v': [2.1830618357552956, 36214588.84, 2666394304.387546, 0.00012954829835052205, 158230.444601868], 'c': [2.1830618357552956, 36214588.84, 2666394304.387546]}"
1672959300,"{'v': [2.182045071312173, 36048860.29, 2665152427.095917, 0.000129540624748144, 158221.0720548609], 'c': [2.182045071312173, 36048860.29, 2665152427.095917]}"
